path	author	header	created	sphere    	topic	style	audience_age	audience_level    	audience_size	source	publication	publ_year    	medium	country	region	language
.\paper\plain\2017\07\3.txt	Super User	Скажи заразе &quot;нет&quot;	03.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1076	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\4.txt	Super User	Гуляй, молодежь!	03.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1077	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\5.txt	Super User	Вузу в Урюпинске быть!	03.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1079	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\6.txt	Super User	Урюпинск принял гостей со всей России	05.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1080	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\7.txt	Super User	Когда-нибудь все поедут в провинцию...	05.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1081	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\8.txt	Super User	Всю жизнь на колесах	06.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1082	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\9.txt	Super User	Бизнес по-хоперски	06.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1083	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\10.txt	Super User	Любовь и бизнес Константина Федотова	06.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1084	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\11.txt	Super User	Кассовая реформа	06.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1085	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\12.txt	Super User	Я с государством в игры не играю	06.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1086	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\13.txt	Super User	В Волгограде пройдет туристический фотокросс	07.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1087	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\14.txt	Super User	Крым	07.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1088	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\15.txt	Super User	В Волгоградской области строительство интерактивного музея «Россия. Моя история» вышло на заключительный этап	10.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1089	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\16.txt	Super User	Новое пожарное депо открылось в Николаевском районе Волгоградской области	10.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1090	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\17.txt	Super User	В Волгоградской области продолжается обновление железнодорожной инфраструктуры	10.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1091	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\18.txt	Super User	Андрей Бочаров провел оперативное совещание	11.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1092	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\19.txt	Super User	Лев по кличке Люся	11.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1093	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\20.txt	Super User	Не хуже Романа Широкова	11.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1095	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\21.txt	Super User	Из кабинета следователя	11.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1096	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\22.txt	Super User	Аварийность: анализ и выводы	11.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1097	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\23.txt	Super User	Никелю — нет!	11.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1098	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\24.txt	Super User	Спортклуб &quot;Олимпия&quot;	11.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1099	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\25.txt	Super User	ГИС: нововведение откладывается	11.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1100	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\26.txt	Super User	Сантехмены из &quot;Водоканала&quot;	11.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1101	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\27.txt	Super User	Правила землепользования	11.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1102	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\28.txt	Super User	Чей дом будет самым-самым?	11.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1103	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\29.txt	Super User	Врачи приедут в хутора	11.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1104	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\30.txt	Super User	Операция &quot;Автомобиль&quot;	13.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1105	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\31.txt	Super User	Как сэкономить на тепле?	13.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1106	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\32.txt	Super User	Алексей Толстой в гостях и не только...	13.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1107	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\33.txt	Super User	Кто поможет Шемякинской даче?	13.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1108	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\34.txt	Super User	За газовую безопасность	13.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1109	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\35.txt	Super User	Вертолет для больного	13.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1110	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\36.txt	Super User	Андрей Бочаров проинспектировал работы по благоустройству Новониколаевского района	14.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1111	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\37.txt	Super User	Страховые поверенные. Кто они?	17.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1112	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\38.txt	Super User	Забытая могила	18.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1113	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\39.txt	Super User	Тринадцать призов	18.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1114	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\40.txt	Super User	Икона из Белоруссии	18.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1115	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\41.txt	Super User	О чем рассказали старые газеты	18.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1116	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\42.txt	Super User	Строим всем миром	18.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1117	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\43.txt	Super User	МЭЗ: между прошлым и будущим	18.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1118	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\44.txt	Super User	Будни местных органов власти	18.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1119	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\45.txt	Super User	Сила и стойкость слабых	19.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1120	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\46.txt	Super User	Введен противопожарный режим	19.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1121	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\47.txt	Super User	Рыбалка	19.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1122	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\48.txt	Super User	Работать честно? Можно!	19.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1123	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\49.txt	Super User	Морские экспонаты	19.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1124	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\50.txt	Super User	Если вам испортили отпуск...	19.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1125	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\51.txt	Super User	Школьные вести	19.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1126	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\52.txt	Super User	Школьники региона отдохнут в палаточных лагерях	21.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1127	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\53.txt	Super User	В МФЦ Волгоградской области оформили первую заявку на получение &quot;дальневосточного гектара&quot;	21.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1128	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\54.txt	Super User	Завод будет работать	21.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1130	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\55.txt	Super User	Не пустишь — останешься без лицензии	21.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1131	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\56.txt	Super User	Три наезда — за неделю	21.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1132	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\57.txt	Super User	Просто так сюда не звонят	21.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1133	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\58.txt	Super User	У предпринимателя должен быть особенный стержень	21.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1134	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\59.txt	Super User	Что в &quot;Приоритете&quot;?	21.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1135	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\60.txt	Super User	Когда профессия — охранник	21.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1136	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\61.txt	Super User	Кто куда, а мы — учиться	24.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1137	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\62.txt	Super User	Где поставить чип собаке?	24.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1138	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\63.txt	Super User	Про счетчики на дачах	24.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1139	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\64.txt	Super User	Номера экстренных служб	24.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1140	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\65.txt	Super User	Волгоградская область и Хабаровский край укрепляют сотрудничество	24.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1141	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\66.txt	Super User	Внимание — мототранспорту	24.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1142	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\67.txt	Super User	Если у вас есть оружие...	24.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1143	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\68.txt	Super User	Борцы вернулись с медалями	24.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1144	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\69.txt	Super User	Волонтеры FIFA 2018	24.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1145	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\70.txt	Super User	Занимаемся благоустройством вместе	24.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1146	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\71.txt	Super User	Будни местных органов власти	24.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1147	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\72.txt	Super User	Дома готовятся к зиме	24.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1148	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\73.txt	Super User	Для развития сельской культуры	24.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1149	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\74.txt	Super User	В волгоградском регионе растет социальная поддержка «земских» врачей и фельдшеров	25.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1150	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\75.txt	Super User	  Команды Египта и России прибыли в Волгоград для участия в международном конкурсе «Военное ралли»  	25.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1151	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\76.txt	Super User	Бульвар покрылся зонтиками	26.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1152	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\77.txt	Super User	Курильщики, готовьтесь!	26.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1153	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\78.txt	Super User	Жизнь в твоих руках	26.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1154	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
.\paper\plain\2017\07\79.txt	Super User	Сколько денег мы выбрасываем?	26.07.2017	публицистика	None	нейтральный	    н-возраст	н-уровень	районная	http://uryupinka.ru/1155	Урюпинская правда	    2017	газета	Россия	Волгоградская область	ru
